iso_time,ts,published_at,fair_value,confidence,sigma,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T09:22:26.045Z,1776417746045,1776417746045,0.071417,0.453955,0.000042,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,453955,454,0.170000,-0.098583,-0.085197,-0.013385
2026-04-17T09:22:27.108Z,1776417747108,1776417747108,0.065127,0.452892,0.000041,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,452892,453,0.170000,-0.104873,-0.091894,-0.012979
2026-04-17T09:22:28.102Z,1776417748102,1776417748102,0.059105,0.451898,0.000040,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,451898,452,0.170000,-0.110895,-0.098369,-0.012526
2026-04-17T09:22:29.258Z,1776417749258,1776417749258,0.053322,0.450742,0.000039,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,450742,451,0.170000,-0.116678,-0.104616,-0.012062
2026-04-17T09:22:30.438Z,1776417750438,1776417750438,0.047825,0.449562,0.000037,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,449562,450,0.170000,-0.122175,-0.110641,-0.011534
2026-04-17T09:22:30.935Z,1776417750935,1776417750935,0.042753,0.449065,0.000036,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,449065,449,0.170000,-0.127247,-0.116374,-0.010874
2026-04-17T09:22:32.395Z,1776417752395,1776417752395,0.039830,0.447605,0.000035,75814.26,75814.26,75913.50,0.160000,0.170000,0.830000,0.840000,447605,448,0.170000,-0.130170,-0.121433,-0.008737
2026-04-17T09:22:32.564Z,1776417752564,1776417752564,0.039802,0.447436,0.000035,75814.26,75814.26,75913.50,0.180000,0.190000,0.810000,0.820000,447436,447,0.190000,-0.150198,-0.129294,-0.020905
2026-04-17T09:22:32.620Z,1776417752620,1776417752620,0.039793,0.447380,0.000035,75814.26,75814.26,75913.50,0.190000,0.200000,0.800000,0.810000,447380,447,0.200000,-0.160207,-0.137999,-0.022208
2026-04-17T09:22:33.086Z,1776417753086,1776417753086,0.039714,0.446914,0.000035,75814.26,75814.26,75913.50,0.210000,0.220000,0.780000,0.790000,446914,447,0.220000,-0.180286,-0.149622,-0.030664
2026-04-17T09:22:33.401Z,1776417753401,1776417753401,0.036194,0.446599,0.000034,75814.83,75814.83,75913.50,0.210000,0.220000,0.780000,0.790000,446599,447,0.220000,-0.183806,-0.160933,-0.022872
