iso_time,ts,published_at,chainlink_ts,binance_ts,fair_value,fair_value_sigma_1m,fair_value_sigma_5m,fair_value_blended_sigma,confidence,annualized_sigma,annualized_sigma_1m,annualized_sigma_5m,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-24T05:01:04.744Z,1777006864744,1777006864744,1777006863000,1777006864407,0.666067,0.609566,0.531119,0.590249,0.835256,0.141568,0.218100,0.759576,0.561591,77709.69,77728.52,77685.38,0.590000,0.610000,0.390000,0.410000,835256,835,0.610000,0.056067,0.013012,0.043055,-0.048409,-0.047505,-0.000904,-0.019751,-0.027796,0.008045
2026-04-24T05:01:05.333Z,1777006865333,1777006865333,1777006864000,1777006864407,0.671023,0.609604,0.531131,0.591011,0.834667,0.137255,0.218100,0.759576,0.561612,77709.69,77728.52,77685.38,0.590000,0.610000,0.390000,0.410000,834667,835,0.610000,0.061023,0.019730,0.041293,-0.048388,-0.047439,-0.000948,-0.018989,-0.026369,0.007380
2026-04-24T05:01:05.409Z,1777006865409,1777006865409,1777006864000,1777006864407,0.671031,0.609609,0.531132,0.591015,0.834591,0.137255,0.218100,0.759576,0.561615,77709.69,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,834591,835,0.610000,0.061031,0.026466,0.034564,-0.048385,-0.047465,-0.000919,-0.018985,-0.025084,0.006098
2026-04-24T05:01:07.337Z,1777006867337,1777006867337,1777006866000,1777006866221,0.680714,0.612902,0.532114,0.594461,0.832663,0.133379,0.218100,0.759576,0.563510,77710.41,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,832663,833,0.610000,0.070714,0.032202,0.038512,-0.046490,-0.048492,0.002002,-0.015539,-0.024798,0.009259
2026-04-24T05:01:08.795Z,1777006868795,1777006868795,1777006867000,1777006866221,0.687139,0.613671,0.532344,0.595840,0.831205,0.129344,0.218100,0.759576,0.563953,77710.56,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,831205,831,0.610000,0.077139,0.040580,0.036559,-0.046047,-0.048328,0.002281,-0.014160,-0.022912,0.008752
2026-04-24T05:01:09.575Z,1777006869575,1777006869575,1777006868000,1777006869034,0.699043,0.624783,0.535674,0.604558,0.830425,0.133130,0.218100,0.759576,0.570373,77713.09,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,830425,830,0.610000,0.089043,0.050784,0.038259,-0.039627,-0.046838,0.007210,-0.005442,-0.019622,0.014180
2026-04-24T05:01:10.605Z,1777006870605,1777006870605,1777006869000,1777006870412,0.701207,0.622754,0.535064,0.603573,0.829395,0.129356,0.218100,0.759576,0.569198,77712.61,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,829395,829,0.610000,0.091207,0.061767,0.029440,-0.040802,-0.044777,0.003975,-0.006427,-0.015635,0.009208
2026-04-24T05:01:11.128Z,1777006871128,1777006871128,1777006870000,1777006870412,0.707005,0.622791,0.535076,0.604384,0.828872,0.125415,0.218100,0.759576,0.569220,77712.61,77728.52,77685.38,0.600000,0.610000,0.390000,0.400000,828872,829,0.610000,0.097005,0.070852,0.026152,-0.040780,-0.042384,0.001604,-0.005616,-0.011995,0.006379
2026-04-24T05:01:12.294Z,1777006872294,1777006872294,1777006871000,1777006871314,0.675924,0.609477,0.531096,0.591633,0.827706,0.133015,0.218100,0.759576,0.561541,77709.56,77726.24,77685.38,0.600000,0.610000,0.390000,0.400000,827706,828,0.610000,0.065924,0.073533,-0.007609,-0.048459,-0.043576,-0.004883,-0.018367,-0.012443,-0.005924
2026-04-24T05:01:13.508Z,1777006873508,1777006873508,1777006872000,1777006873111,0.686953,0.614547,0.532608,0.596373,0.826492,0.130507,0.218100,0.759576,0.564459,77710.69,77726.24,77685.38,0.600000,0.610000,0.390000,0.400000,826492,826,0.610000,0.076953,0.073520,0.003433,-0.045541,-0.044580,-0.000961,-0.013627,-0.013304,-0.000323
