iso_time,ts,published_at,fair_value,confidence,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T07:30:42.027Z,1776411042027,1776411042027,0.409293,0.857973,74980.16,74980.16,74986.58,0.540000,0.560000,0.440000,0.460000,857973,858,0.560000,-0.150707,-0.146699,-0.004008
2026-04-17T07:30:42.072Z,1776411042072,1776411042072,0.409291,0.857928,74980.16,74980.16,74986.58,0.540000,0.550000,0.450000,0.460000,857928,858,0.550000,-0.140709,-0.146702,0.005993
2026-04-17T07:30:42.402Z,1776411042402,1776411042402,0.406512,0.857598,74980.17,74980.17,74986.58,0.540000,0.550000,0.450000,0.460000,857598,858,0.550000,-0.143488,-0.147261,0.003773
2026-04-17T07:30:42.897Z,1776411042897,1776411042897,0.406485,0.857103,74980.17,74980.17,74986.58,0.540000,0.560000,0.440000,0.460000,857103,857,0.560000,-0.153515,-0.147825,-0.005690
2026-04-17T07:30:43.028Z,1776411043028,1776411043028,0.406478,0.856972,74980.17,74980.17,74986.58,0.550000,0.560000,0.440000,0.450000,856972,857,0.560000,-0.153522,-0.148388,-0.005134
2026-04-17T07:30:43.189Z,1776411043189,1776411043189,0.424900,0.856811,74981.35,74981.35,74986.58,0.550000,0.560000,0.440000,0.450000,856811,857,0.560000,-0.135100,-0.145267,0.010167
2026-04-17T07:30:44.532Z,1776411044532,1776411044532,0.523066,0.855468,74990.84,74990.84,74986.58,0.550000,0.560000,0.440000,0.450000,855468,855,0.560000,-0.036934,-0.124512,0.087578
2026-04-17T07:30:45.290Z,1776411045290,1776411045290,0.523812,0.854710,74990.84,74990.84,74986.58,0.550000,0.560000,0.440000,0.450000,854710,855,0.560000,-0.036188,-0.103052,0.066864
2026-04-17T07:30:46.812Z,1776411046812,1776411046812,0.525011,0.853188,74990.91,74990.91,74986.58,0.550000,0.560000,0.440000,0.450000,853188,853,0.560000,-0.034989,-0.079346,0.044358
2026-04-17T07:30:47.454Z,1776411047454,1776411047454,0.528053,0.852546,74991.29,74991.29,74986.58,0.550000,0.560000,0.440000,0.450000,852546,853,0.560000,-0.031947,-0.055031,0.023085
2026-04-17T07:30:48.255Z,1776411048255,1776411048255,0.528850,0.851745,74991.27,74991.27,74986.58,0.550000,0.560000,0.440000,0.450000,851745,852,0.560000,-0.031150,-0.034241,0.003091
2026-04-17T07:30:49.320Z,1776411049320,1776411049320,0.529897,0.850680,74991.29,74991.29,74986.58,0.550000,0.560000,0.440000,0.450000,850680,851,0.560000,-0.030103,-0.032875,0.002772
2026-04-17T07:30:50.227Z,1776411050227,1776411050227,0.530872,0.849773,74991.29,74991.29,74986.58,0.550000,0.560000,0.440000,0.450000,849773,850,0.560000,-0.029128,-0.031463,0.002336
2026-04-17T07:30:51.298Z,1776411051298,1776411051298,0.531850,0.848702,74991.29,74991.29,74986.58,0.550000,0.560000,0.440000,0.450000,848702,849,0.560000,-0.028150,-0.030096,0.001945
2026-04-17T07:30:51.863Z,1776411051863,1776411051863,0.531861,0.848137,74991.29,74991.29,74986.58,0.550000,0.570000,0.430000,0.450000,848137,848,0.570000,-0.038139,-0.031334,-0.006805
2026-04-17T07:30:51.962Z,1776411051962,1776411051962,0.531862,0.848038,74991.29,74991.29,74986.58,0.560000,0.570000,0.430000,0.440000,848038,848,0.570000,-0.038138,-0.032731,-0.005406
2026-04-17T07:30:52.225Z,1776411052225,1776411052225,0.532902,0.847775,74991.29,74991.29,74986.58,0.560000,0.570000,0.430000,0.440000,847775,848,0.570000,-0.037098,-0.034130,-0.002967
2026-04-17T07:30:52.267Z,1776411052267,1776411052267,0.532903,0.847733,74991.29,74991.29,74986.58,0.560000,0.580000,0.420000,0.440000,847733,848,0.580000,-0.047097,-0.037724,-0.009372
2026-04-17T07:30:52.303Z,1776411052303,1776411052303,0.532904,0.847697,74991.29,74991.29,74986.58,0.570000,0.580000,0.420000,0.430000,847697,848,0.580000,-0.047096,-0.041513,-0.005583
2026-04-17T07:30:52.375Z,1776411052375,1776411052375,0.532905,0.847625,74991.29,74991.29,74986.58,0.570000,0.590000,0.410000,0.430000,847625,848,0.590000,-0.057095,-0.045305,-0.011790
2026-04-17T07:30:52.427Z,1776411052427,1776411052427,0.532906,0.847573,74991.29,74991.29,74986.58,0.590000,0.600000,0.400000,0.410000,847573,848,0.600000,-0.067094,-0.051096,-0.015998
2026-04-17T07:30:52.728Z,1776411052728,1776411052728,0.532912,0.847272,74991.29,74991.29,74986.58,0.590000,0.610000,0.390000,0.410000,847272,847,0.610000,-0.077088,-0.059094,-0.017994
2026-04-17T07:30:52.965Z,1776411052965,1776411052965,0.532917,0.847035,74991.29,74991.29,74986.58,0.600000,0.610000,0.390000,0.400000,847035,847,0.610000,-0.077083,-0.065091,-0.011992
2026-04-17T07:30:52.992Z,1776411052992,1776411052992,0.532917,0.847008,74991.29,74991.29,74986.58,0.610000,0.620000,0.380000,0.390000,847008,847,0.620000,-0.087083,-0.073088,-0.013994
2026-04-17T07:30:53.229Z,1776411053229,1776411053229,0.534033,0.846771,74991.30,74991.30,74986.58,0.610000,0.620000,0.380000,0.390000,846771,847,0.620000,-0.085967,-0.078863,-0.007105
2026-04-17T07:30:54.221Z,1776411054221,1776411054221,0.560053,0.845779,74996.29,74996.29,74986.58,0.610000,0.620000,0.380000,0.390000,845779,846,0.620000,-0.059947,-0.077434,0.017486
2026-04-17T07:30:55.197Z,1776411055197,1776411055197,0.581974,0.844803,75001.88,75001.88,74986.58,0.610000,0.620000,0.380000,0.390000,844803,845,0.620000,-0.038026,-0.069621,0.031595
2026-04-17T07:30:56.262Z,1776411056262,1776411056262,0.592237,0.843738,75003.51,75003.51,74986.58,0.610000,0.620000,0.380000,0.390000,843738,844,0.620000,-0.027763,-0.059757,0.031995
2026-04-17T07:30:57.207Z,1776411057207,1776411057207,0.595253,0.842793,75003.53,75003.53,74986.58,0.610000,0.620000,0.380000,0.390000,842793,843,0.620000,-0.024747,-0.047290,0.022543
2026-04-17T07:30:57.330Z,1776411057330,1776411057330,0.595260,0.842670,75003.53,75003.53,74986.58,0.630000,0.640000,0.360000,0.370000,842670,843,0.640000,-0.044740,-0.039045,-0.005695
2026-04-17T07:30:57.338Z,1776411057338,1776411057338,0.595260,0.842662,75003.53,75003.53,74986.58,0.630000,0.650000,0.350000,0.370000,842662,843,0.650000,-0.054740,-0.038003,-0.016737
2026-04-17T07:30:57.356Z,1776411057356,1776411057356,0.595261,0.842644,75003.53,75003.53,74986.58,0.630000,0.660000,0.340000,0.370000,842644,843,0.660000,-0.064739,-0.043346,-0.021393
2026-04-17T07:30:57.380Z,1776411057380,1776411057380,0.595263,0.842620,75003.53,75003.53,74986.58,0.650000,0.660000,0.340000,0.350000,842620,843,0.660000,-0.064737,-0.050740,-0.013997
2026-04-17T07:30:57.621Z,1776411057621,1776411057621,0.595276,0.842379,75003.53,75003.53,74986.58,0.660000,0.670000,0.330000,0.340000,842379,842,0.670000,-0.074724,-0.060736,-0.013988
2026-04-17T07:30:57.701Z,1776411057701,1776411057701,0.595281,0.842299,75003.53,75003.53,74986.58,0.670000,0.680000,0.320000,0.330000,842299,842,0.680000,-0.084719,-0.068732,-0.015988
2026-04-17T07:30:58.053Z,1776411058053,1776411058053,0.595300,0.841947,75003.53,75003.53,74986.58,0.670000,0.690000,0.310000,0.330000,841947,842,0.690000,-0.094700,-0.076724,-0.017976
2026-04-17T07:30:58.195Z,1776411058195,1776411058195,0.598289,0.841805,75003.54,75003.54,74986.58,0.670000,0.690000,0.310000,0.330000,841805,842,0.690000,-0.091711,-0.082118,-0.009593
2026-04-17T07:30:58.234Z,1776411058234,1776411058234,0.598292,0.841766,75003.54,75003.54,74986.58,0.680000,0.690000,0.310000,0.320000,841766,842,0.690000,-0.091708,-0.087512,-0.004196
2026-04-17T07:30:59.004Z,1776411059004,1776411059004,0.598336,0.840996,75003.54,75003.54,74986.58,0.680000,0.700000,0.300000,0.320000,840996,841,0.700000,-0.101664,-0.092901,-0.008764
2026-04-17T07:30:59.058Z,1776411059058,1776411059058,0.598339,0.840942,75003.54,75003.54,74986.58,0.690000,0.700000,0.300000,0.310000,840942,841,0.700000,-0.101661,-0.096289,-0.005372
2026-04-17T07:30:59.181Z,1776411059181,1776411059181,0.615178,0.840819,75008.72,75008.72,74986.58,0.690000,0.700000,0.300000,0.310000,840819,841,0.700000,-0.084822,-0.094313,0.009491
2026-04-17T07:31:00.208Z,1776411060208,1776411060208,0.627850,0.839792,75016.44,75016.44,74986.58,0.690000,0.700000,0.300000,0.310000,839792,840,0.700000,-0.072150,-0.090401,0.018251
2026-04-17T07:31:01.229Z,1776411061229,1776411061229,0.634363,0.838771,75017.08,75017.08,74986.58,0.690000,0.700000,0.300000,0.310000,838771,839,0.700000,-0.065637,-0.085187,0.019550
2026-04-17T07:31:02.368Z,1776411062368,1776411062368,0.638598,0.837632,75017.10,75017.10,74986.58,0.690000,0.700000,0.300000,0.310000,837632,838,0.700000,-0.061402,-0.077135,0.015733
2026-04-17T07:31:03.316Z,1776411063316,1776411063316,0.643060,0.836684,75017.14,75017.14,74986.58,0.690000,0.700000,0.300000,0.310000,836684,837,0.700000,-0.056940,-0.068190,0.011251
2026-04-17T07:31:03.919Z,1776411063919,1776411063919,0.643110,0.836081,75017.14,75017.14,74986.58,0.680000,0.700000,0.300000,0.320000,836081,836,0.700000,-0.056890,-0.062604,0.005714
2026-04-17T07:31:03.978Z,1776411063978,1776411063978,0.643115,0.836022,75017.14,75017.14,74986.58,0.680000,0.690000,0.310000,0.320000,836022,836,0.690000,-0.046885,-0.057551,0.010665
