iso_time,ts,published_at,fair_value,fair_value_blended_sigma,confidence,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-22T04:36:42.905Z,1776832602905,1776832602905,0.651381,0.564748,0.497095,0.108061,0.540899,77536.59,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,497095,497,0.580000,0.071381,0.096814,-0.025433,-0.039101,-0.032454,-0.006647,-0.015252,-0.004321,-0.010931
2026-04-22T04:36:43.921Z,1776832603921,1776832603921,0.656047,0.565230,0.496079,0.104769,0.540941,77536.59,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,496079,496,0.580000,0.076047,0.093367,-0.017320,-0.039059,-0.033729,-0.005330,-0.014770,-0.006220,-0.008550
2026-04-22T04:36:44.983Z,1776832604983,1776832604983,0.660801,0.565689,0.495017,0.101578,0.540973,77536.58,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,495017,495,0.580000,0.080801,0.091385,-0.010584,-0.039027,-0.034000,-0.005027,-0.014311,-0.007072,-0.007240
2026-04-22T04:36:45.616Z,1776832605616,1776832605616,0.660898,0.565731,0.494384,0.101578,0.541000,77536.58,77554.21,77523.64,0.560000,0.570000,0.430000,0.440000,494384,494,0.570000,0.090898,0.088877,0.002021,-0.029000,-0.035267,0.006267,-0.004269,-0.008878,0.004608
2026-04-22T04:36:45.971Z,1776832605971,1776832605971,0.665646,0.566125,0.494029,0.098483,0.540995,77536.58,77554.21,77523.64,0.560000,0.570000,0.430000,0.440000,494029,494,0.570000,0.095646,0.088849,0.006797,-0.029005,-0.035065,0.006061,-0.003875,-0.008963,0.005088
2026-04-22T04:36:46.917Z,1776832606917,1776832606917,0.670684,0.566583,0.493083,0.095483,0.541035,77536.58,77554.21,77523.64,0.560000,0.570000,0.430000,0.440000,493083,493,0.570000,0.100684,0.089010,0.011674,-0.028965,-0.034802,0.005837,-0.003417,-0.008962,0.005545
2026-04-22T04:36:47.896Z,1776832607896,1776832607896,0.670843,0.566649,0.492104,0.095483,0.541076,77536.58,77554.21,77523.64,0.550000,0.570000,0.430000,0.450000,492104,492,0.570000,0.100843,0.090580,0.010263,-0.028924,-0.034198,0.005274,-0.003351,-0.008414,0.005063
2026-04-22T04:36:47.919Z,1776832607919,1776832607919,0.670847,0.566650,0.492081,0.095483,0.541077,77536.58,77554.21,77523.64,0.540000,0.550000,0.450000,0.460000,492081,492,0.550000,0.120847,0.091960,0.028887,-0.008923,-0.033514,0.024592,0.016650,-0.007784,0.024435
2026-04-22T04:36:47.926Z,1776832607926,1776832607926,0.670848,0.566651,0.492074,0.095483,0.541078,77536.58,77554.21,77523.64,0.530000,0.550000,0.450000,0.470000,492074,492,0.550000,0.120848,0.094835,0.026013,-0.008922,-0.030834,0.021912,0.016651,-0.005205,0.021856
2026-04-22T04:36:47.948Z,1776832607948,1776832607948,0.670851,0.566652,0.492052,0.095483,0.541079,77536.58,77554.21,77523.64,0.500000,0.540000,0.460000,0.500000,492052,492,0.540000,0.130851,0.097197,0.033654,0.001079,-0.028156,0.029235,0.026652,-0.002672,0.029325
