iso_time,ts,published_at,fair_value,confidence,sigma,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-20T06:33:14.822Z,1776666794822,1776666794822,0.990000,0.705178,0.000021,0.120524,0.779855,74482.03,74482.03,74366.92,0.860000,0.870000,0.130000,0.140000,705178,705,0.870000,0.120000,0.120000,0.000000
2026-04-20T06:33:15.400Z,1776666795400,1776666795400,0.990000,0.704600,0.000021,0.120524,0.779949,74482.03,74482.03,74366.92,0.870000,0.880000,0.120000,0.130000,704600,705,0.880000,0.110000,0.118000,-0.008000
2026-04-20T06:33:15.432Z,1776666795432,1776666795432,0.990000,0.704568,0.000021,0.116852,0.779949,74482.03,74482.03,74366.92,0.870000,0.880000,0.120000,0.130000,704568,705,0.880000,0.110000,0.116000,-0.006000
2026-04-20T06:33:15.451Z,1776666795451,1776666795451,0.990000,0.704549,0.000021,0.116852,0.779952,74482.03,74482.03,74366.92,0.870000,0.890000,0.110000,0.130000,704549,705,0.890000,0.100000,0.112000,-0.012000
2026-04-20T06:33:15.650Z,1776666795650,1776666795650,0.990000,0.704350,0.000021,0.116852,0.779984,74482.03,74482.03,74366.92,0.880000,0.890000,0.110000,0.120000,704350,704,0.890000,0.100000,0.108000,-0.008000
2026-04-20T06:33:16.665Z,1776666796665,1776666796665,0.987151,0.703335,0.000027,0.153986,0.791209,74487.68,74487.68,74366.92,0.880000,0.890000,0.110000,0.120000,703335,703,0.890000,0.097151,0.103430,-0.006279
2026-04-20T06:33:17.222Z,1776666797222,1776666797222,0.975285,0.702778,0.000033,0.183203,0.802219,74493.43,74493.43,74366.92,0.880000,0.890000,0.110000,0.120000,702778,703,0.890000,0.085285,0.098487,-0.013202
2026-04-20T06:33:17.677Z,1776666797677,1776666797677,0.975322,0.702323,0.000033,0.183203,0.802296,74493.43,74493.43,74366.92,0.900000,0.910000,0.090000,0.100000,702323,702,0.910000,0.065322,0.089552,-0.024230
2026-04-20T06:33:18.379Z,1776666798379,1776666798379,0.860470,0.701621,0.000068,0.380500,0.834673,74511.65,74511.65,74366.92,0.900000,0.910000,0.090000,0.100000,701621,702,0.910000,-0.049530,0.059646,-0.109175
2026-04-20T06:33:19.408Z,1776666799408,1776666799408,0.868334,0.700592,0.000066,0.368921,0.835124,74511.82,74511.82,74366.92,0.900000,0.910000,0.090000,0.100000,700592,701,0.910000,-0.041666,0.031312,-0.072979
2026-04-20T06:33:19.412Z,1776666799412,1776666799412,0.868334,0.700588,0.000066,0.368921,0.835125,74511.82,74511.82,74366.92,0.900000,0.920000,0.080000,0.100000,700588,701,0.920000,-0.051666,0.001549,-0.053215
2026-04-20T06:33:19.714Z,1776666799714,1776666799714,0.868386,0.700286,0.000066,0.368921,0.835177,74511.82,74511.82,74366.92,0.910000,0.920000,0.080000,0.090000,700286,700,0.920000,-0.051614,-0.025831,-0.025783
2026-04-20T06:33:20.143Z,1776666800143,1776666800143,0.875826,0.699857,0.000064,0.357682,0.835255,74511.82,74511.82,74366.92,0.910000,0.920000,0.080000,0.090000,699857,700,0.920000,-0.044174,-0.047730,0.003556
2026-04-20T06:33:20.626Z,1776666800626,1776666800626,0.875908,0.699374,0.000064,0.357682,0.835339,74511.82,74511.82,74366.92,0.920000,0.930000,0.070000,0.080000,699374,699,0.930000,-0.054092,-0.048642,-0.005450
2026-04-20T06:33:21.110Z,1776666801110,1776666801110,0.884587,0.698890,0.000062,0.347317,0.837153,74512.86,74512.86,74366.92,0.920000,0.930000,0.070000,0.080000,698890,699,0.930000,-0.045413,-0.049392,0.003979
2026-04-20T06:33:22.261Z,1776666802261,1776666802261,0.893539,0.697739,0.000060,0.337936,0.839894,74514.40,74514.40,74366.92,0.920000,0.930000,0.070000,0.080000,697739,698,0.930000,-0.036461,-0.046351,0.009890
2026-04-20T06:33:23.308Z,1776666803308,1776666803308,0.900297,0.696692,0.000060,0.338523,0.847526,74519.01,74519.01,74366.92,0.920000,0.930000,0.070000,0.080000,696692,697,0.930000,-0.029703,-0.041969,0.012265
